Name,Latitude,Longitude,Type,subtype1,subtype2,City,Address,Link,,
United States Postal Service,34.9498767,-83.7579766,post office,y,y,Hiawassee GA,118 North Main Street  Hiawassee,https://www.google.com/maps/place/?q=place_id:ChIJYZvftl4vX4gRJmWSzwVZllc,,
United States Postal Service,35.17895899999999,-83.3741514,post office,y,y,Franklin TN,250 Depot Street  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJa8mlfeMkWYgR5aWoz8x3wSw,,
United States Postal Service,35.485646,-83.315768,post office,y,y,Cherokee NC,671 Tsali Boulevard  Cherokee,https://www.google.com/maps/place/?q=place_id:ChIJjyB0JftDWYgRRCzc2Q5ieac,,
United States Postal Service,35.8928082,-82.8276967,post office,y,y,Hot Springs NC,111 Bridge Street  Hot Springs,https://www.google.com/maps/place/?q=place_id:ChIJO8boeBkyWogRVQWe6-vcnJE,,
United States Postal Service,36.1460518,-82.4159384,post office,y,y,Erwin TN,201 North Main Avenue  Erwin,https://www.google.com/maps/place/?q=place_id:ChIJSQfIy05uWogR7hBTLi8rdJI,,
United States Postal Service,36.2860929,-82.1649927,post office,y,y,Hampton TN,433 U.S. 321  Hampton,https://www.google.com/maps/place/?q=place_id:ChIJ_fvo45-BUIgRr3_K0fu-JtQ,,
United States Postal Service,36.6360786,-81.7898702,post office,y,y,Damascus VA,211 North Reynolds Street  Damascus,https://www.google.com/maps/place/?q=place_id:ChIJKbskftpAUIgR-npPCpAdMnA,,
United States Postal Service,36.7025903,-81.4390971,post office,y,y,Troutdale VA,93 Ripshin Road  Troutdale,https://www.google.com/maps/place/?q=place_id:ChIJIa9d1cTLUYgRb7N05VCojOM,,
United States Postal Service,36.8322356,-81.5175569,post office,y,y,Marion VA,200 Pearl Avenue  Marion,https://www.google.com/maps/place/?q=place_id:ChIJXcdOvFItUIgRWydTEg2yNxo,,
United States Postal Service,37.1002684,-81.1161054,post office,y,y,Bland VA,207 Jackson Street  Bland,https://www.google.com/maps/place/?q=place_id:ChIJf79qsq0ZTogRMR5U6pZZjn4,,
United States Postal Service,37.3281096,-80.7356715,post office,y,y,Pearisburg VA,206 North Main Street  Pearisburg,https://www.google.com/maps/place/?q=place_id:ChIJsc2jLo7eTYgRAgU6v338Xz4,,
United States Postal Service,37.4062371,-79.9129951,post office,y,y,Daleville VA,1492 Roanoke Road  Daleville,https://www.google.com/maps/place/?q=place_id:ChIJ0-LAgc4aTYgRWoWR9ZsfSn0,,
United States Postal Service,37.6314776,-79.4494276,post office,y,y,Glasgow VA,805 Blue Ridge Road  Glasgow,https://www.google.com/maps/place/?q=place_id:ChIJqTLns8rTTIgRkUWPvaU9RYE,,
United States Postal Service,37.7340379,-79.353546,post office,y,y,Buena Vista VA,2071 Forest Avenue  Buena Vista,https://www.google.com/maps/place/?q=place_id:ChIJ22o7Xmkzs4kRJo4dSRRZpuk,,
United States Postal Service,38.0675991,-78.8893582,post office,y,y,Waynesboro VA,200 South Wayne Avenue  Waynesboro,https://www.google.com/maps/place/?q=place_id:ChIJE-MR-aNjs4kRGEvxHv1WudI,,
United States Postal Service,38.0708933,-78.8750104,post office,y,y,Waynesboro VA,422 North Commerce Avenue  Waynesboro,https://www.google.com/maps/place/?q=place_id:ChIJ44Wdgg9js4kRO4vROCiaw-A,,
United States Postal Service,38.6647446,-78.4604213,post office,y,y,Luray VA,102 South Broad Street  Luray,https://www.google.com/maps/place/?q=place_id:ChIJCXHcxQlOtIkRJ-zDFjls070,,
United States Postal Service,38.9232911,-78.1923017,post office,y,y,Front Royal VA,120 East 3rd Street  Front Royal,https://www.google.com/maps/place/?q=place_id:ChIJEcsXGNLFtYkRUu32TS1pOuM,,
United States Postal Service,39.32653270000001,-77.7450621,post office,y,y,Harpers Ferry WV,1010 Washington Street  Harpers Ferry,https://www.google.com/maps/place/?q=place_id:ChIJo212TlMdtokRrdl5-3QdN1A,,
United States Postal Service,39.65414229999999,-77.5704604,post office,y,y,Smithsburg MD,43 Grove Lane  Smithsburg,https://www.google.com/maps/place/?q=place_id:ChIJYx1rc1uVyYkRAv0OnczUb6g,,
United States Postal Service,39.64415590000001,-77.5849999,post office,y,y,Smithsburg MD,22509 Cavetown Church Road  Cavetown,https://www.google.com/maps/place/?q=place_id:ChIJWXTwgDWVyYkRICyYbQ97un8,,
United States Postal Service,39.9107887,-77.5598871,post office,y,y,Fayetteville PA,4025 Lincoln Way East  Fayetteville,https://www.google.com/maps/place/?q=place_id:ChIJ8wGNWdihyYkRlvGW5_qlNIs,,
United States Postal Service,40.15051439999999,-77.1270456,post office,y,y,Boiling Springs PA,3 East 1st Street  Boiling Springs,https://www.google.com/maps/place/?q=place_id:ChIJvfLWoN3jyIkR5zRB3cHDlF0,,
United States Postal Service,40.2030415,-77.1903063,post office,y,y,Carlisle PA,66 West Louther Street  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJAcHl7dThyIkRKOjc-xsEXLs,,
United States Postal Service,40.2029697,-77.1903893,post office,y,y,Carlisle PA,1 Carlisle Barracks  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJSe-jMzHgyIkRJCEZXxBy0o4,,
United States Postal Service,40.3925542,-77.0292905,post office,y,y,Duncannon PA,203 North Market Street  Duncannon,https://www.google.com/maps/place/?q=place_id:ChIJc8BfiwvQyIkRvY8VA63V3bQ,,
United States Postal Service,40.550441,-76.383646,post office,y,y,Pine Grove PA,103 Snyder Avenue  Pine Grove,https://www.google.com/maps/place/?q=place_id:ChIJIyQYv7X-xYkReP2k_sCFwuE,,
United States Postal Service,40.5560482,-75.9846371,post office,y,y,Hamburg PA,50 North 3rd Street  Hamburg,https://www.google.com/maps/place/?q=place_id:ChIJ763g0nrbxYkRvhJlccs7dC0,,
United States Postal Service,40.7993196,-75.614849,post office,y,y,Palmerton PA,128 Delaware Avenue Frnt  Palmerton,https://www.google.com/maps/place/?q=place_id:ChIJx8jbNJlOxIkRTufsOBPeOlI,,
United States Postal Service,40.8112555,-75.5907286,post office,y,y,Palmerton PA,100 Little Gap Road  Aquashicola,https://www.google.com/maps/place/?q=place_id:ChIJtzurb_ZOxIkRIcuYJ5vUuls,,
United States Postal Service,40.850886,-75.2918863,post office,y,y,Wind Gap PA,138 North Broadway  Wind Gap,https://www.google.com/maps/place/?q=place_id:ChIJS69dWFRmxIkR2CyTt3IjbbI,,
United States Postal Service,40.9835705,-75.14273,post office,y,y,Delaware Water Gap PA,12 Shepard Avenue  Delaware Water Gap,https://www.google.com/maps/place/?q=place_id:ChIJGSDt48-HxIkRiT8mlo5prZs,,
United States Postal Service,41.3749208,-74.6919639,post office,y,y,Port Jervis NY,20 Sussex Street  Port Jervis,https://www.google.com/maps/place/?q=place_id:ChIJV99DBlJPw4kRW-z3J5R3rlw,,
