latitude,longitude,distance_from_last_marker,mile_marker_number
36.065698,-82.63548206,1,306
36.06105925,-82.62434194,1,307
36.05197698,-82.61737141,1,308
36.04551716,-82.60779363,1,309
36.03994623,-82.60593567,1,310
36.03473591,-82.59611754,1,311
36.0250421,-82.60105492,1,312
36.01696502,-82.60890258,1,313
36.00790283,-82.60797846,1,314
35.99874621,-82.60544061,1,315
35.99224943,-82.60833373,1,316
35.98559409,-82.60610549,1,317
35.9730452,-82.61148568,1,318
35.96636768,-82.60947728,1,319
35.96506787,-82.59665603,1,320
35.96515458,-82.58166022,1,321
35.95775926,-82.57142501,1,322
35.95345691,-82.56139398,1,323
35.95764709,-82.55311406,1,324
35.96647291,-82.54319833,1,325
35.97172528,-82.53175894,1,326
35.97494662,-82.52026845,1,327
35.97844323,-82.50543564,1,328
35.98681699,-82.49464104,1,329
35.99217081,-82.48649701,1,330
35.99965278,-82.47617914,1,331
36.00716658,-82.4623584,1,332
36.01219955,-82.45130356,1,333
36.0170327,-82.44216221,1,334
36.02284645,-82.4290115,1,335
36.02618412,-82.42515035,1,336
36.03382066,-82.42026996,1,337
36.04391285,-82.4218083,1,338
36.04623851,-82.43333295,1,339
36.05487037,-82.43339614,1,340
36.06056936,-82.43508149,1,341
36.06789613,-82.43548802,1,342
36.07142084,-82.44547006,1,343
36.07727094,-82.45078537,1,344
36.08263657,-82.45946006,1,345
36.09303263,-82.45177925,1,346
36.09955181,-82.45076971,1,347
36.10569444,-82.45023581,1,348
36.09967122,-82.44129266,1,349
36.10371746,-82.42682622,1,350
36.10541011,-82.41411093,1,351
36.10378385,-82.40466046,1,352
36.10286584,-82.39309171,1,353
36.1046228,-82.38616281,1,354
36.11092811,-82.37795816,1,355
36.10746338,-82.37234263,1,356
36.11023768,-82.3612116,1,357
36.11727612,-82.34996842,1,358
36.11501947,-82.33860331,1,359
36.11904386,-82.32422996,1,360
36.12528695,-82.31184219,1,361
36.13048105,-82.30422854,1,362
36.13537064,-82.29001037,1,363
36.13228873,-82.28354139,1,364
36.12974493,-82.27503718,1,365
36.13051497,-82.26297224,1,366
36.13374315,-82.25226098,1,367
36.13544547,-82.2443009,1,368
36.14345872,-82.23407067,1,369
36.15236243,-82.22389594,1,370
36.15847485,-82.21330382,1,371
36.15390024,-82.19977564,1,372
36.15055638,-82.18697517,1,373
36.14273472,-82.17702887,1,374
36.1461031,-82.16432819,1,375
36.14894232,-82.15163797,1,376
36.15250113,-82.1448532,1,377
36.14373483,-82.14467037,1,378
36.13465587,-82.14134398,1,379
36.12859447,-82.13802947,1,380
36.12189423,-82.13709888,1,381
36.11277996,-82.13389744,1,382
36.10561758,-82.13104073,1,383
36.10522507,-82.11851969,1,384
36.10671154,-82.1129306,1,385
36.10590441,-82.10181774,1,386
36.10587501,-82.08614763,1,387
36.10847687,-82.07414061,1,388
36.11223078,-82.06262434,1,389
36.11911334,-82.05790386,1,390
36.12532475,-82.04686648,1,391
36.12162221,-82.03202113,1,392
36.1280543,-82.02646434,1,393
36.13754197,-82.016645,1,394
36.13733049,-82.00278098,1,395
36.14326466,-82.00835557,1,396
36.15393381,-82.01419766,1,397
36.16053304,-82.01447691,1,398
36.16921375,-82.01083599,1,399
36.17809462,-82.01159857,1,400
36.18513786,-82.01124654,1,401
36.19250843,-82.0062846,1,402
36.19991055,-82.00116506,1,403
36.2070543,-81.99316427,1,404
36.20508691,-81.9833348,1,405
36.20424991,-81.97629875,1,406
36.21217218,-81.97507467,1,407
36.21880246,-81.97930646,1,408
36.22204677,-81.98935159,1,409
36.22028546,-82.00171727,1,410
36.22303083,-82.01204448,1,411
36.21995458,-82.022288,1,412
36.21923009,-82.0327171,1,413
36.22298784,-82.04126233,1,414
36.22166609,-82.04983854,1,415
36.21566789,-82.06074165,1,416
36.21670484,-82.07290015,1,417
36.22069158,-82.08646137,1,418
36.22285632,-82.09933551,1,419
36.22821302,-82.11392936,1,420
36.23552659,-82.11836473,1,421
36.24352845,-82.12334597,1,422
36.25288015,-82.12210659,1,423
36.25826317,-82.12558651,1,424
36.26907293,-82.12753256,1,425
36.27493985,-82.1348634,1,426
36.28283393,-82.14117045,1,427
36.28362309,-82.13704788,1,428
36.28381189,-82.13194129,1,429
36.27924991,-82.12272228,1,430
36.28580152,-82.11893343,1,431
36.2938788,-82.1199352,1,432
36.29671132,-82.12618389,1,433
36.30297152,-82.13145089,1,434
36.31080053,-82.13038246,1,435
36.31724768,-82.12516795,1,436
36.32572104,-82.11623036,1,437
