Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Country Club Road,40.2486901,-77.102121,residential,394916,,crossing.csv,,,,,
County Road,42.77501389999999,-73.1330951,unclassified,392991,,crossing.csv,,,,,
County Road,42.3332732,-73.1618581,residential,2991960,,crossing.csv,,,,,
Courtright Road,41.324724990266425,-74.63157026,residential,2007688,,crossing.csv,,,,,
Crabtree Falls Highway,37.838473866394175,-79.02311299,secondary,2007649,VA 56,crossing.csv,,,,,
Cranberry Peak Road,45.1131145,-70.3494753,track,2007932,,crossing.csv,,,,,
Crawford Notch Road,44.1709345,-71.3881339,primary,2007646,US 302,crossing.csv,,,,,
Creek Junction Road,36.64825464263779,-81.67230706,residential,2007649,SR 728,crossing.csv,,,,,
Crigger Road,41.22613466825798,-74.71043429,track,2007688,,crossing.csv,,,,,
Crosby Street,43.700976021125236,-72.28556505,unclassified,2007646,,crossing.csv,,,,,
Cross Avenue,37.32934411013877,-80.75110299,residential,2007649,SR 793,crossing.csv,,,,,
Cross Mountain Road,36.48133286441216,-81.96057119,residential,2007647,,crossing.csv,,,,,
Cumberland Street,40.39026099999764,-77.031661,residential,394916,,crossing.csv,,,,,
Daicey Pond Campground,45.88237984530018,-69.03166266,service,2007932,,crossing.csv,,,,,
Davis Valley Road,36.897483346046116,-81.36905405,tertiary,2007649,SR 617,crossing.csv,,,,,
Dawn Hill Road,41.80771105558088,-73.39388162,residential,3352289,,crossing.csv,,,,,
Deckertown Turnpike,41.25226260000001,-74.6893122,primary,2007688,CR 650,crossing.csv,,,,,
Deep Gap,35.0395963,-83.5526847,,2007645,,crossing.csv,,,,,
Deep Gap Road,35.0395963,-83.5526847,unclassified,2007645,FS 71,crossing.csv,,,,,
Deer Lick Track,39.777315899947524,-77.48134294,track,394916,,crossing.csv,,,,,
Deerwood Circle,42.17631331042943,-73.29135713,residential,2991960,,crossing.csv,,,,,
Dennis Cove Road,36.26421129632111,-82.123212,residential,2007647,,crossing.csv,,,,,
Dennytown Road,41.42049149999999,-73.8689675,tertiary,2007688,,crossing.csv,,,,,
Depot Hill Road,41.57126705255254,-73.68050935,residential,2007688,,crossing.csv,,,,,
Depot Street,42.4695205,-73.1589536,tertiary,2991960,,crossing.csv,,,,,
Disabled Hunters Access Road,36.63898162513177,-81.71008457,track,2007649,,crossing.csv,,,,,
Dock Street,40.58017065830565,-76.02559837,residential,394916,,crossing.csv,,,,,
Dora's Lane,35.891646281585444,-82.82984212,service,2007647,,crossing.csv,,,,,
Dorchester Road,43.792658,-72.103123,unclassified,2007646,,crossing.csv,,,,,
Douglas Drive,36.63079907929219,-81.78326265,trunk,2007649,US 58;VA 91,crossing.csv,,,,,
Douglas Drive,36.634004999999334,-81.78365,trunk,2007649,US 58;VA 91,crossing.csv,,,,,
Duell Hollow Road,41.63748006217673,-73.53064257,residential,2007688,,crossing.csv,,,,,
Dug Hill Trail,39.97545006831446,-77.466709,track,394916,,crossing.csv,,,,,
